path,filename,subject,quality,view,split,width,height,fps,nb_frames,duration_s,size_bytes,readable,error
push_up/good/front/subject_001_push_up_good_front.mp4,subject_001_push_up_good_front.mp4,001,good,front,train,810,1440,15.0,467,31.133,3832303,True,
push_up/good/front/subject_002_push_up_good_front.mp4,subject_002_push_up_good_front.mp4,002,good,front,train,810,1440,15.0,464,30.933,2915469,True,
push_up/good/front/subject_003_push_up_good_front.mp4,subject_003_push_up_good_front.mp4,003,good,front,validation,810,1440,15.0,453,30.2,3297888,True,
push_up/good/front/subject_004_push_up_good_front.mp4,subject_004_push_up_good_front.mp4,004,good,front,train,810,1440,15.0,292,19.467,2126103,True,
push_up/good/front/subject_005_push_up_good_front.mp4,subject_005_push_up_good_front.mp4,005,good,front,train,810,1440,15.0,278,18.533,2443423,True,
push_up/good/front/subject_006_push_up_good_front.mp4,subject_006_push_up_good_front.mp4,006,good,front,train,810,1440,15.0,341,22.733,2526529,True,
push_up/good/front/subject_007_push_up_good_front.mp4,subject_007_push_up_good_front.mp4,007,good,front,validation,810,1440,15.0,337,22.467,3061485,True,
push_up/good/front/subject_008_push_up_good_front.mp4,subject_008_push_up_good_front.mp4,008,good,front,train,810,1440,15.0,264,17.6,1984770,True,
push_up/good/front/subject_009_push_up_good_front.mp4,subject_009_push_up_good_front.mp4,009,good,front,train,810,1440,15.0,255,17.0,2067954,True,
push_up/good/front/subject_010_push_up_good_front.mp4,subject_010_push_up_good_front.mp4,010,good,front,test,810,1440,15.0,459,30.6,3072384,True,
push_up/good/front/subject_011_push_up_good_front.mp4,subject_011_push_up_good_front.mp4,011,good,front,train,810,1440,15.0,187,12.467,1407201,True,
push_up/good/front/subject_012_push_up_good_front.mp4,subject_012_push_up_good_front.mp4,012,good,front,train,810,1440,15.0,373,24.867,3874023,True,
push_up/good/front/subject_013_push_up_good_front.mp4,subject_013_push_up_good_front.mp4,013,good,front,train,810,1440,15.0,444,29.6,4133366,True,
push_up/good/front/subject_014_push_up_good_front.mp4,subject_014_push_up_good_front.mp4,014,good,front,validation,810,1440,15.0,331,22.067,2666820,True,
push_up/good/front/subject_015_push_up_good_front.mp4,subject_015_push_up_good_front.mp4,015,good,front,train,810,1440,15.0,455,30.333,3591143,True,
push_up/good/front/subject_016_push_up_good_front.mp4,subject_016_push_up_good_front.mp4,016,good,front,test,810,1440,15.0,424,28.267,3193729,True,
push_up/good/front/subject_017_push_up_good_front.mp4,subject_017_push_up_good_front.mp4,017,good,front,train,810,1440,15.0,212,14.133,1541824,True,
push_up/good/front/subject_018_push_up_good_front.mp4,subject_018_push_up_good_front.mp4,018,good,front,train,358,636,15.0,367,24.467,861316,True,
push_up/good/front/subject_019_push_up_good_front.mp4,subject_019_push_up_good_front.mp4,019,good,front,validation,358,636,15.0,106,7.067,207597,True,
